"ASV_ID","ASV_sha","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_640","4c9e94009d8bc575869b067df2765577","Bacteria","Acidobacteriota","Terriglobia","Terriglobales","SbA1",NA,NA
"ASV_641","1ad550b5e472270dcff2744bb93c4249","Bacteria","Myxococcota","XYA12-FULL-58-9","XYA12-FULL-58-9","JALHOP01","JALHOP01","JALHOP01 sp022842935"
"ASV_642","d594219c7e58b9213a2cfe8f076d557f","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","70-9","VAYN01",NA
"ASV_643","b306b305fd1e6de902363b591fd28fac","Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","Lysinibacillus",NA
"ASV_644","50de2626326370b81399a3f30bdf6b4f","Bacteria","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Terracidiphilus",NA
"ASV_645","ac7b922d3661c73ba2010755f579b919","Bacteria","Actinomycetota","Actinomycetia","Mycobacteriales","Mycobacteriaceae","Mycobacterium",NA
"ASV_646","84351f43af04791ddd7762ac90f5bb66","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","UBA10450",NA,NA
"ASV_647","6ee7bf4eb036165e50ce0e3fa3ab48ef","Bacteria","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Granulicella_C","Granulicella_C pectinivorans"
"ASV_648","604636abb30a5675c8c38a5f2e2e418b","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","UBA10450",NA,NA
"ASV_649","c7c40b0f480f3edee216585ec048011d","Bacteria","Actinomycetota","Actinomycetia","Mycobacteriales","Nakamurellaceae","Nakamurella","Nakamurella endophytica"
"ASV_650","81e54af4d0a18ae7998f9cec92c21e26","Bacteria","Pseudomonadota","Alphaproteobacteria","ATCC43930","Stellaceae","AP-15","AP-15 sp021812165"
"ASV_651","0f8ac3d90d5d370cfb0561bd5091270f","Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","Sporosarcina","Sporosarcina limicola"
"ASV_652","930bd976bb670c25f689d7d0c8a0e12e","Bacteria","Actinomycetota","UBA4738","UBA4738","HRBIN12","AC-51",NA
"ASV_653","19b203e6e273980f64d4bbfd48627cfd","Bacteria","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Edaphobacter",NA
"ASV_654","a58370a15bb17666765711a230720d02","Bacteria","Actinomycetota","Actinomycetia","Streptosporangiales","Streptosporangiaceae",NA,NA
"ASV_655","31ee5dd79477b003bae8647a867e562d","Bacteria","Planctomycetota","Planctomycetia","Isosphaerales","Isosphaeraceae","Paludisphaera","Paludisphaera borealis"
"ASV_656","af763571fbc6ac17ad37f259460e0d36","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Tepidiphilus","Tepidiphilus margaritifer"
"ASV_657","de773910840579809221ee1563c358c6","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Pararobbsia","Pararobbsia silviterrae"
"ASV_658","71e904c2eac22712b0a5ee84a9a0ea18","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","UBA10450","AV80",NA
"ASV_659","24f4877304dbf8e414b8596160e5167a","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,NA
"ASV_660","84e579be1d1f7517274cba4ab2480535","Bacteria","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Terracidiphilus",NA
"ASV_661","ed1310b15b2c3828eb68f9c0213d8dce","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","JADGHE01","JADGHE01 sp019689555"
"ASV_662","9e29b837640d80371fd2f4114a6fdb20","Bacteria","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Terracidiphilus","Terracidiphilus savannae"
"ASV_663","2390ad7fc738b23f4be2e6ec469042d6","Bacteria","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae",NA,NA
"ASV_664","2717d8b813ca6cefbe2390797ba22406","Bacteria","Actinomycetota","Actinomycetia","Mycobacteriales","Jatrophihabitantaceae","Jatrophihabitans","Jatrophihabitans endophyticus"
"ASV_665","ac365b96b0bfc3b330ec9fb78f9fc508","Bacteria","Actinomycetota","Actinomycetia","Streptosporangiales","Streptosporangiaceae","Trebonia","Trebonia kvetii"
"ASV_666","421a182ad1dc121a1825e0eb0e439304","Bacteria","Pseudomonadota","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae",NA,NA
"ASV_667","2a079f8c89700d3170a61e2522b27deb","Bacteria","Acidobacteriota","Terriglobia","Acidoferrales","UBA7541","Acidoferrum",NA
"ASV_668","2996566478303b8efa53d47d6502aa49","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae",NA,NA
"ASV_669","45e98f553a7ab5a98492e4d794a12cfb","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","F1-60-MAGs163","F1-60-MAGs163 sp903959665"
"ASV_670","9af3467db68cf6063627304cecd46a65","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E",NA
