"ASV_ID","Leaf_ITS_F1_R2","Leaf_ITS_F10_R10","Leaf_ITS_F10_R9","Leaf_ITS_F11_R1","Leaf_ITS_F11_R2","Leaf_ITS_F11_R3","Leaf_ITS_F13_R20","Leaf_ITS_F13_R21","Leaf_ITS_F14_R18","Leaf_ITS_F14_R6","Leaf_ITS_F15_R4","Leaf_ITS_F15_R5","Leaf_ITS_F15_R6","Leaf_ITS_F15_R7","Leaf_ITS_F15_R8","Leaf_ITS_F16_R1","Leaf_ITS_F16_R2","Leaf_ITS_F16_R3","Leaf_ITS_F16_R4","Leaf_ITS_F16_R5","Leaf_ITS_F16_R6","Leaf_ITS_F16_R7","Leaf_ITS_F16_R8","Leaf_ITS_F17_R1","Leaf_ITS_F17_R2","Leaf_ITS_F17_R20","Leaf_ITS_F17_R3","Leaf_ITS_F17_R4","Leaf_ITS_F17_R5","Leaf_ITS_F17_R6","Leaf_ITS_F17_R7","Leaf_ITS_F17_R8","Leaf_ITS_F18_R1","Leaf_ITS_F18_R2","Leaf_ITS_F18_R3","Leaf_ITS_F18_R4","Leaf_ITS_F18_R5","Leaf_ITS_F18_R6","Leaf_ITS_F18_R7","Leaf_ITS_F18_R8","Leaf_ITS_F19_R1","Leaf_ITS_F19_R2","Leaf_ITS_F19_R3","Leaf_ITS_F19_R4","Leaf_ITS_F19_R5","Leaf_ITS_F19_R6","Leaf_ITS_F19_R7","Leaf_ITS_F19_R8","Leaf_ITS_F2_R11","Leaf_ITS_F20_R1","Leaf_ITS_F20_R2","Leaf_ITS_F20_R22","Leaf_ITS_F20_R3","Leaf_ITS_F20_R4","Leaf_ITS_F20_R5","Leaf_ITS_F20_R6","Leaf_ITS_F20_R7","Leaf_ITS_F20_R8","Leaf_ITS_F21_R1","Leaf_ITS_F21_R19","Leaf_ITS_F21_R2","Leaf_ITS_F21_R20","Leaf_ITS_F21_R21","Leaf_ITS_F21_R3","Leaf_ITS_F21_R4","Leaf_ITS_F21_R5","Leaf_ITS_F24_R19","Leaf_ITS_F24_R20","Leaf_ITS_F24_R21","Leaf_ITS_F3_R2","Leaf_ITS_F3_R5","Leaf_ITS_F3_R8","Leaf_ITS_F3_R9","Leaf_ITS_F5_R15","Leaf_ITS_F5_R16","Leaf_ITS_F6_R13","Leaf_ITS_F6_R14","Leaf_ITS_F6_R15","Leaf_ITS_F6_R5","Leaf_ITS_F6_R6","Leaf_ITS_F6_R7","Leaf_ITS_F6_R8","Leaf_ITS_F6_R9","Leaf_ITS_F7_R1","Leaf_ITS_F7_R2","Leaf_ITS_F7_R7","Leaf_ITS_F7_R8","Leaf_ITS_F8_R1","Leaf_ITS_F9_R12","Leaf_ITS_F9_R13","Soil_ITS_F10_R12","Soil_ITS_F10_R13","Soil_ITS_F11_R3","Soil_ITS_F11_R4","Soil_ITS_F11_R5","Soil_ITS_F13_R22","Soil_ITS_F13_R23","Soil_ITS_F14_R20","Soil_ITS_F14_R8","Soil_ITS_F15_R3","Soil_ITS_F15_R4","Soil_ITS_F15_R5","Soil_ITS_F15_R6","Soil_ITS_F15_R7","Soil_ITS_F15_R8","Soil_ITS_F16_R1","Soil_ITS_F16_R2","Soil_ITS_F16_R3","Soil_ITS_F16_R4","Soil_ITS_F16_R5","Soil_ITS_F16_R6","Soil_ITS_F16_R7","Soil_ITS_F16_R8","Soil_ITS_F17_R1","Soil_ITS_F17_R2","Soil_ITS_F17_R23","Soil_ITS_F17_R3","Soil_ITS_F17_R4","Soil_ITS_F17_R5","Soil_ITS_F17_R6","Soil_ITS_F17_R7","Soil_ITS_F17_R8","Soil_ITS_F18_R1","Soil_ITS_F18_R2","Soil_ITS_F18_R3","Soil_ITS_F18_R4","Soil_ITS_F18_R5","Soil_ITS_F18_R6","Soil_ITS_F18_R7","Soil_ITS_F18_R8","Soil_ITS_F19_R1","Soil_ITS_F19_R2","Soil_ITS_F19_R3","Soil_ITS_F19_R4","Soil_ITS_F19_R5","Soil_ITS_F19_R6","Soil_ITS_F19_R7","Soil_ITS_F19_R8","Soil_ITS_F2_R13","Soil_ITS_F20_R1","Soil_ITS_F20_R2","Soil_ITS_F20_R24","Soil_ITS_F20_R3","Soil_ITS_F20_R4","Soil_ITS_F20_R5","Soil_ITS_F20_R6","Soil_ITS_F20_R7","Soil_ITS_F20_R8","Soil_ITS_F21_R1","Soil_ITS_F21_R2","Soil_ITS_F21_R21","Soil_ITS_F21_R22","Soil_ITS_F21_R23","Soil_ITS_F21_R3","Soil_ITS_F21_R4","Soil_ITS_F24_R21","Soil_ITS_F24_R22","Soil_ITS_F24_R23","Soil_ITS_F3_R1","Soil_ITS_F3_R11","Soil_ITS_F3_R2","Soil_ITS_F4_R1","Soil_ITS_F4_R2","Soil_ITS_F6_R10","Soil_ITS_F6_R11","Soil_ITS_F6_R15","Soil_ITS_F6_R16","Soil_ITS_F6_R6","Soil_ITS_F6_R7","Soil_ITS_F6_R8","Soil_ITS_F6_R9","Soil_ITS_F7_R1","Soil_ITS_F7_R2","Soil_ITS_F7_R3","Soil_ITS_F7_R8","Soil_ITS_F7_R9","Soil_ITS_F8_R1","Soil_ITS_F8_R2","Soil_ITS_F9_R14","Soil_ITS_F9_R15","Stem_ITS_F10_R10","Stem_ITS_F10_R14","Stem_ITS_F10_R15","Stem_ITS_F10_R9","Stem_ITS_F11_R3","Stem_ITS_F11_R4","Stem_ITS_F11_R5","Stem_ITS_F13_R1","Stem_ITS_F13_R2","Stem_ITS_F14_R17","Stem_ITS_F14_R18","Stem_ITS_F14_R23","Stem_ITS_F15_R3","Stem_ITS_F15_R6","Stem_ITS_F15_R7","Stem_ITS_F15_R8","Stem_ITS_F16_R1","Stem_ITS_F16_R2","Stem_ITS_F16_R4","Stem_ITS_F16_R5","Stem_ITS_F16_R6","Stem_ITS_F16_R7","Stem_ITS_F16_R8","Stem_ITS_F17_R1","Stem_ITS_F17_R2","Stem_ITS_F17_R3","Stem_ITS_F17_R4","Stem_ITS_F17_R5","Stem_ITS_F17_R6","Stem_ITS_F17_R7","Stem_ITS_F17_R8","Stem_ITS_F18_R1","Stem_ITS_F18_R17","Stem_ITS_F18_R2","Stem_ITS_F18_R3","Stem_ITS_F18_R4","Stem_ITS_F18_R5","Stem_ITS_F18_R6","Stem_ITS_F18_R7","Stem_ITS_F18_R8","Stem_ITS_F19_R1","Stem_ITS_F19_R2","Stem_ITS_F19_R3","Stem_ITS_F19_R4","Stem_ITS_F19_R5","Stem_ITS_F19_R6","Stem_ITS_F19_R7","Stem_ITS_F19_R8","Stem_ITS_F2_R14","Stem_ITS_F20_R2","Stem_ITS_F20_R3","Stem_ITS_F20_R4","Stem_ITS_F20_R5","Stem_ITS_F20_R6","Stem_ITS_F20_R7","Stem_ITS_F20_R8","Stem_ITS_F21_R1","Stem_ITS_F21_R19","Stem_ITS_F21_R2","Stem_ITS_F21_R24","Stem_ITS_F21_R3","Stem_ITS_F21_R4","Stem_ITS_F21_R5","Stem_ITS_F21_R6","Stem_ITS_F21_R7","Stem_ITS_F21_R8","Stem_ITS_F22_R1","Stem_ITS_F22_R17","Stem_ITS_F22_R18","Stem_ITS_F24_R24","Stem_ITS_F3_R12","Stem_ITS_F3_R2","Stem_ITS_F3_R3","Stem_ITS_F4_R1","Stem_ITS_F4_R2","Stem_ITS_F6_R11","Stem_ITS_F6_R12","Stem_ITS_F6_R13","Stem_ITS_F6_R6","Stem_ITS_F6_R7","Stem_ITS_F6_R8","Stem_ITS_F7_R1","Stem_ITS_F7_R10","Stem_ITS_F7_R11","Stem_ITS_F7_R2","Stem_ITS_F7_R3","Stem_ITS_F7_R8","Stem_ITS_F7_R9","Stem_ITS_F8_R1","Stem_ITS_F8_R2"
"ASV_606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,1,165,3,0,0,0,0,2,0,0,0,2,0,0,0,5,0,0,0,0,2,0,0,0,0,0,3,2,10,2,314,13,1905,6,0,0,1,0,0,0,10,0,0,4,8,2,1435,2,28,102,12,3,0,0,2,0,0,0,0,0,0,0,0,101,0,0,1,0,0,1,81,0,2,0,0,0,0,3,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_608",0,1,4,69,0,31,0,50,50,19,0,0,4,2,4,0,4,0,0,2,0,0,0,5,5,42,2,3,31,12,8,203,94,31,27,9,12,8,17,27,0,1,1,0,3,0,0,0,1,8,80,2,21,14,21,8,60,4,11,5,0,6,1,1,0,5,0,0,0,15,2,1,18,0,113,3,47,33,0,0,2,2,0,4,2,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_609",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"ASV_610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,9,4,0,0,0,0,0,0,0,0,0,0,2,5,6,18,946,12,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,1,2,0,13,20,17,16,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_611",2,0,3,8,7,6,3,10,35,2,0,0,1,0,0,1,0,1,11,0,0,0,1,1,12,6,1,11,6,1,8,34,62,1,1,4,5,1,8,3,1,0,2,6,0,1,0,2,0,17,1,0,13,2,8,3,0,0,1,1,0,10,0,0,0,0,0,0,2,35,0,0,75,2,3,2,0,0,2,0,0,5,3,40,1,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV_612",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_613",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,1,2,2,0,0,0,0,0,0,0,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,0,5,4,74,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19
"ASV_614",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,168,2,0,1,0,4,2,1,0,0,0,0,0,0,1,0,0,0,0,15,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,22,0,0,0,0,0,0,1,3,0,0,0,0,1,2,0,3,1,0,2,2,5,0,0,0,0,0,0,0,2,4,0,1,0,2,2,1,2,0,1,0,2,2,3,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,32
"ASV_615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,1,0,0,0,8,35,6,0,0,0,0,0,0,1,1,2,0,3,2,3,7,8,79,1,4,1,2,0,16,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,5,0,1,0,0,4,4,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,3,3
"ASV_616",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4147,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,0,0,0
"ASV_617",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_618",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,2,2,5,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0,0
"ASV_619",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,5,2,0,7,1,1,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,10,34,0,0,13,29,7,12,921,31,9,3,1,2,71,28,14,2,0,42,1,1,1,2,0,3,0,0,0,0,0,0,0,2,1,7,0,0,9,7,6,3,0,5,2,2,13,2,2,3,4,3,1,0,0,0,0,0,0,0,9,24,63,13,0,0,2,0,0,9,1,2,1,694,1,22,1,4,16,0,0,1,4,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_621",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,18,10,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,3,0,1,0,0,0
"ASV_622",4,1,0,0,1,3,1,31,24,9,30,0,4,20,8,3,2,3,1,1,17,24,3,10,8,2,1,1,0,13,0,0,4,0,0,2,1,6,1,0,23,5,4,21,7,83,33,18,0,5,2,1,0,0,0,10,2,5,0,1,0,0,4,0,3,2,4,6,2,0,10,0,9,0,23,0,3,0,27,2,1,0,3,13,2,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,524,10,0,0,0,0,0,1,2,3,1,0,0,2,1,4,381,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,237,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,2,0,1,1,0,0,0,0,0,0,0,0,0
"ASV_623",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,27,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
